vertex,x,y,z,angle_defect_radians
546,2.2709128020377958,12.631021025469167,-2.2213228828970277,0.1857804770190502
547,2.1779217004697555,12.605247754611932,-2.222855979003786,0.1417546411902071
552,1.6779437375245911,12.59632724019631,-2.228932373327214,0.10382752145110086
553,1.5784578530388595,12.604078925601188,-2.223797601318388,0.13246373267353206
554,1.4856417127781092,12.632698334138196,-2.221060116032806,0.17436676352993286
555,1.407213511788169,12.684375082860935,-2.22860187620889,0.23805626300420402
556,2.3482750481489356,12.684433747636676,-2.2311916055969823,0.25958449511779846
566,1.3537691995602454,12.761505636434913,-2.245309916814511,0.17196369688307445
579,2.4035836379479796,12.760245149485089,-2.244889710278518,0.18420887886091764
589,1.3265581660514076,12.851285660329815,-2.267391120030315,0.1281784852680291
602,2.4296075959398973,12.851252762006114,-2.2677501377737665,0.1428539535047616
628,2.435468127517208,12.964236774871342,-2.2966034851031467,0.10401236737844644
1637,2.4313648047205154,13.395876082672455,-0.10148860424774606,-0.10138153190537358
1906,1.484048331892301,12.825543340056779,-0.005681229575767071,0.18716357848632625
1907,1.5784901913176619,12.79983753733634,0.00022135610860367775,0.14367976779350444
1911,1.4072285696979474,12.880066035117347,-0.005255813164020048,0.2632737852310525
1918,1.3536561069908477,12.95704721124054,-0.004528924092484179,0.18705458101715544
1927,1.3278719542593465,13.04990666705084,0.000932282481675196,0.14554230872581897
2022,2.178057545426851,12.798240136962596,0.00158362175294046,0.1367455057178142
2060,2.271150478419962,12.824198114595701,-0.004706373216395846,0.18135022887736607
2101,2.347790855499423,12.878731333837319,-0.004893240077437924,0.25898631506649283
2140,2.4023576219089504,12.955388356835957,-0.005456326352952845,0.1884657763040115
2141,2.42830208172224,13.049934801511874,0.00036583014686301723,0.14862166449028968
2142,2.4369208669292974,13.166391825119364,0.007937854486973745,0.10634556109933413
2143,2.436945499926241,13.282618592021658,0.006162067794236608,0.10172587971876801
