iteration,epsilon,target_count,gray_before,gray_after,positive_gray_after,negative_gray_after,movable_count,monitored_count,global_energy_before,global_energy_after,local_zero_energy,global_zero_energy,singular_preservation_energy,max_abs_defect_outside_singular,max_step,max_cumulative_displacement,max_relative_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_sum,gauss_bonnet_residual,accepted,backtracking_scale,optimizer_success,optimizer_message
0,0.1,26,26,25,21,4,104,222,1.1945397462716572,0.8728113379415993,2.0502825469319235,2.9028608131636284,0.0009424860547100705,0.379846566276254,0.0028972011278168004,0.0028972011278168004,0.08746333527413981,0.9031872564121426,0.4321859650206753,12.566370614357634,0.0,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
1,0.1,25,25,34,31,3,101,216,0.8728113379415993,0.6399798976634009,1.8299554796497495,2.6822500959493905,0.0006878006728229251,0.36779788932331814,0.0028829587745297256,0.005780140060165786,0.09275116123409674,0.8982052995939329,0.41244771652902923,12.566370614357627,-7.105427357601002e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
2,0.1,34,34,31,28,3,131,265,0.6399798976634009,0.462499309854643,1.6091847436215425,2.4623390820861384,0.0017342497742615232,0.33931963366315665,0.002631668200464382,0.007829395949359544,0.06921523001334882,0.9219706764222948,0.4045174603470635,12.566370614357618,-1.5987211554602254e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
3,0.1,31,31,33,28,5,112,213,0.462499309854643,0.317179306497958,1.3807016509863077,2.3096265546880836,0.006996965193729249,0.30360282642438097,0.0025649212125239506,0.009909937686914123,0.035072930464937174,0.9385410908188063,0.40575637249946656,12.566370614357627,-7.105427357601002e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
4,0.1,33,33,43,41,2,122,220,0.317179306497958,0.19700263781843316,1.3075339688235563,2.236458872525331,0.01592155328160507,0.2639892009376086,0.002585557205654611,0.012306943904635369,0.032544870932848594,0.9487834112506373,0.3907392181045238,12.56637061435762,-1.4210854715202004e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
5,0.1,43,43,43,39,4,126,210,0.19700263781843316,0.17297445741281742,1.227546718631313,2.200845707581924,0.02862333757292099,0.25593970060192195,0.002607391309488638,0.01294118969601141,0.02136081863986675,0.9983459950439217,0.3907392181045238,12.566370614357625,-8.881784197001252e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
6,0.1,43,43,35,34,1,137,232,0.17297445741281742,0.16498419881954118,1.1734228527798443,2.1466792441173155,0.02240689439323075,0.2622602241300227,0.0025360676633985526,0.01294213125968858,0.019944231363618687,0.9832768840020024,0.3907392181045238,12.566370614357625,-8.881784197001252e-15,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
7,0.1,35,35,27,27,0,114,204,0.16498419881954118,0.16449924462847543,1.1465348345627457,2.1294995011463027,0.019222652151706807,0.26312525118290175,0.002408140173647087,0.012942132048936853,0.017818757850831826,0.9883948844425923,0.3907392181045238,12.56637061435762,-1.4210854715202004e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
8,0.1,27,27,27,27,0,95,180,0.16449924462847543,0.16449613225411164,1.140224467329166,2.1296133011351723,0.019239267135939847,0.2632360336947267,9.110946822153762e-06,0.012942132049832912,9.42467976592305e-05,0.9999055135692361,0.3907392181045238,12.566370614357622,-1.2434497875801753e-14,True,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,0.1,27,27,28,27,1,95,180,0.16449613225411164,0.16448643747597957,1.1408095413001882,2.130198375106195,0.01919765889816401,0.26315008664865225,9.714670860313604e-05,0.01294213204983388,0.0005465409086373808,0.999453350158687,0.3907392181045238,12.566370614357623,-1.0658141036401503e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
10,0.1,28,28,27,27,0,98,186,0.16448643747597957,0.16448572182331606,1.137519785355551,2.1268284309015906,0.019211938276619177,0.2629547985166496,0.0005290868986650417,0.01294213204983388,0.0041409223379586645,0.9957401979531715,0.3907392181045238,12.566370614357627,-7.105427357601002e-15,True,0.25,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
11,0.1,27,27,27,27,0,95,180,0.16448572182331606,0.16448247750224385,1.1374211407452817,2.126938212555669,0.019231744505880496,0.2628803736248553,1.0713497093287166e-05,0.01294213204983388,0.00011074946114679995,0.9999146179681102,0.3907392181045238,12.566370614357623,-1.0658141036401503e-14,True,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,0.1,27,27,28,27,1,95,180,0.16448247750224385,0.16445510508349742,1.1396501355765194,2.129167207386907,0.019044469798524016,0.2630604964917509,0.00028093563519894006,0.01294213204983388,0.0019889025673011126,0.9980107388706579,0.3907392181045238,12.566370614357623,-1.0658141036401503e-14,True,1.0,False,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT
13,0.1,28,28,28,27,1,98,186,0.16445510508349742,0.16445510015057413,1.139839000712383,2.129147646258423,0.01902945886185164,0.26300654229068754,2.7314116598263715e-06,0.01294213204983388,2.0449857756292304e-05,0.9999767928762635,0.3907392181045238,12.566370614357623,-1.0658141036401503e-14,True,0.25,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
