vertex,x,y,z,angle_defect_radians
281,3.2161815736595463,15.399875859519955,-1.306030067380957,-0.10825093167101174
282,3.145407339023463,15.380654422852105,-1.386410314195057,-0.12550649966991845
283,3.08016,15.3644,-1.47466,-0.11525425047978521
319,2.786682013732728,15.461816058514659,-1.1546009014135938,-0.24408446522788063
546,2.2742507478218523,12.631262904974816,-2.230840790475904,0.31347474291150423
547,2.182589798600903,12.608520430877517,-2.2248269494019204,0.20418546829355355
553,1.5758405528714536,12.610437777436193,-2.226096444384793,0.2229178642905585
554,1.4825249356648147,12.634575551674153,-2.2295737050626294,0.32635144147900874
555,1.4072776603347756,12.686863143048019,-2.2374184931982066,0.2945258743340713
556,2.35483,12.6778,-2.23544,0.4449160954597938
566,1.3575662555168018,12.757535804652944,-2.25033008262123,0.321269343697726
579,2.4026318942372646,12.756689395831199,-2.251636716586517,0.319851719434056
589,1.336539283014756,12.844328437867334,-2.2675144948912016,0.19291038587492126
602,2.4248137018519915,12.848121803088473,-2.266584922258482,0.20024010199519482
1280,4.8279,17.742701,-0.497019,0.10988311827204911
1286,4.825431185645919,17.643731061622347,-0.5058845955201438,0.10462632660276072
1292,4.8279,17.542,-0.497191,0.10745109483046289
1906,1.4789065349025692,12.82830538712917,0.0028638045627554292,0.30427885036467983
1907,1.5745443334299545,12.803883217750405,0.001372508852128551,0.20266497145352624
1911,1.40143,12.8735,0.0,0.42961034537909915
1918,1.354229088435057,12.952912113504288,0.0038078180243959646,0.32239298111850523
1927,1.3291604443204832,13.043321937433722,0.0007962938985423316,0.23948843411987597
2022,2.183112560772919,12.80574104892835,0.0007601197098994927,0.18081858100579318
2060,2.268855731355559,12.828253226848862,0.002183262980183738,0.28303107016535334
2101,2.3468582165475813,12.878688748525715,0.0035224374326344025,0.41631160122308253
2140,2.3978890182784474,12.955067028916638,0.0006627790004746967,0.2758039039960447
2141,2.421327600404223,13.045818470342663,2.5322616700600034e-05,0.17856680449413664
