vertex,x,y,z,angle_defect_radians,gaussian_curvature,sign,component
25,1e-06,15.435,-8e-06,1.55442217848,184.89168273,positive,5
277,3.36291,15.4688,-1.15891,0.153073971291,15.8944531576,positive,4
278,3.28764,15.4316,-1.22857,-0.106392775724,-12.4558994914,negative,4
281,3.21514,15.401,-1.3044,-0.119171248427,-12.4436771581,negative,4
282,3.14626,15.3783,-1.38592,-0.141777261096,-9.82299934359,negative,4
319,2.79093,15.4688,-1.15892,-0.291552512474,-41.9097633319,negative,6
546,2.27379,12.6243,-2.22601,0.393020159233,45.3191992574,positive,0
547,2.1779,12.6055,-2.2227,0.195806086035,21.7637360532,positive,0
553,1.5785,12.6055,-2.2227,0.196488496949,19.492550844,positive,1
554,1.48291,12.6243,-2.226,0.38905112205,46.2893494938,positive,1
555,1.40201,12.6774,-2.23537,0.391447316793,42.2018715363,positive,1
556,2.35483,12.6778,-2.23544,0.391010976388,52.8350866045,positive,0
566,1.34756,12.7574,-2.24947,0.393294543299,50.4901647587,positive,1
570,3.1864,14.8952,-2.62643,1.54651540244,362.93672063,positive,7
571,3.1864,14.0828,-2.48317,1.54738000896,186.969743663,positive,8
579,2.40888,12.7576,-2.24951,0.391036693625,43.6847418701,positive,0
589,1.3285,12.8517,-2.26611,0.196644818806,17.7879271251,positive,1
602,2.4279,12.8517,-2.26611,0.196584629783,17.9258346601,positive,0
625,2.7029,13.2408,-2.33471,1.38725628211,181.970202947,positive,9
666,2.6989,15.2005,-2.68026,1.55016775771,159.743726407,positive,10
684,2.7029,14.0828,-2.48317,-1.54729094303,-126.391511785,negative,11
690,2.4279,13.1952,-2.32666,-1.3935731531,-95.8522547021,negative,12
703,2.6989,14.8952,-2.62643,-1.54618383973,-102.466855097,negative,13
1064,0,14.4619,-2.55002,1.5678791233,150.711515309,positive,14
1073,0,15.2005,-2.68026,1.57404316405,147.942842669,positive,15
1267,0,14.685,0,1.56763241449,187.650587338,positive,16
1274,4.8279,17.843599,-0.479237,1.38473848741,141.810622572,positive,17
1279,4.8279,17.85,0,1.58816865721,245.344639367,positive,18
1286,4.8279,17.641899,-0.514801,0.345708446244,36.9044621383,positive,19
1382,4.8279,15.5702,-0.583604,1.5461076476,129.252592884,positive,20
1386,4.8279,15.6444,-0.162599,-1.55276733137,-137.710617833,negative,21
1400,4.8279,15.1803,-1.00987,1.54809991666,180.253602495,positive,22
1408,4.8279,15.2649,-0.529773,-1.54707305492,-121.652129401,negative,23
1448,4.8279,14.3678,-0.866607,1.54780698482,218.994380465,positive,24
1498,4.8279,14.4517,-0.390453,-1.5477810258,-200.900714561,negative,25
1537,4.8279,13.612,0,1.56187427354,213.753126451,positive,26
1539,4.8279,13.6098,-0.241995,1.38680533891,192.239882397,positive,27
1619,2.42792,13.3987,0,-1.39438256142,-109.753253624,negative,28
1906,1.48195,12.8194,0,0.391953445017,45.0178850211,positive,2
1907,1.5785,12.8,0,0.197480450538,26.2816862664,positive,2
1911,1.40143,12.8735,0,0.390518785661,53.3525002148,positive,2
1918,1.34748,12.9545,0,0.390705711856,37.6699738429,positive,2
1927,1.3285,13.05,0,0.196109566485,23.9506267071,positive,2
2022,2.1779,12.8,0,0.194411402867,21.239133405,positive,3
2060,2.27298,12.8188,0,0.387605596911,46.2405295564,positive,3
2101,2.35358,12.8721,0,0.389428803084,54.8928809817,positive,3
2140,2.40812,12.9525,0,0.395432177565,46.1127610234,positive,3
2141,2.4279,13.05,0,0.200075930398,20.4670656732,positive,3
